证券代码,证券简称,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
000001,平安银行,101.57,123.92,136.44,-137.13,212.15,13.19
000002,万 科Ａ,206.93,123.18,118.72,-19.23,448.69,12.4
000004,国农科技,4011.28,61.5,40.45,3467.96,1728.96,0.68
000005,世纪星源,1486.43,12.51,4.93,1011.55,2175.0,0.22
000006,深振业Ａ,1618.61,99.51,83.22,1371.01,1141.51,3.64
000007,全新好,-2065.66,31.04,17.91,-2201.85,-302.57,0.52
000008,神州高铁,5205.54,42.83,38.98,611.8,1191.98,0.96
000009,中国宝安,-19.96,67.76,86.73,-218.47,380.44,1.48
000010,美丽生态,-3560.7,-88.6,-13.45,-7166.27,1001.39,-1.63
000011,深物业A,66786.97,110.68,121.22,50700.02,1015.37,4.58
000012,南 玻Ａ,182.03,73.52,76.68,188.26,211.23,2.64
000014,沙河股份,-3348.33,12.03,30.25,-3197.08,218.37,0.42
000016,深康佳Ａ,2429.99,15.34,-54.27,-2681.8,325.61,1.43
000017,深中华A,1624.67,50.7,148.29,1370.0,-98.66,0.0
000018,神州长城,256.91,204.85,171.89,9256.83,198.24,4.58
000019,深粮控股,-686.42,-17.55,-11.1,-724.14,23.68,-0.4
000020,深华发Ａ,2497.2,18.42,20.9,2310.62,69.6,0.2
000021,深科技,2389.37,61.83,44.26,2224.86,6.64,2.32
000022,深赤湾Ａ,111.06,107.8,105.72,39.82,46.66,7.62
000023,深天地Ａ,3290.5,48.68,48.86,3157.74,113.54,1.38
000024,招商地产,5.67,15.79,17.5,-36.97,-4.53,1.94
000025,特 力Ａ,1909.85,43.15,40.16,678.9,-51.5,1.23
000026,飞亚达Ａ,130.32,64.5,70.44,-16.47,17.92,3.2800000000000002
000027,深圳能源,-341.89,57.32,78.63,-425.9,128.41,3.02
000028,国药一致,160.86,128.59,145.26,-163.25,85.17,22.77
000029,深深房Ａ,871.4,104.18,95.07,580.54,171.23,2.62
000030,富奥股份,175.78,127.63,129.12,14.33,174.94,4.92
000031,中粮地产,1531.27,99.27,75.38,1214.43,620.76,3.45
000032,深桑达Ａ,788.4,35.98,22.63,2778.54,-135.66,1.28
000033,新都退,-130.0,49.36,-28.11,128.78,-40.9,0.01
000034,神州数码,12672.59,167.87,247.73,4739.3,35018.73,5.07
000035,中国天楹,100.64,79.04,80.54,-151.58,666.16,1.71
000036,华联控股,27280.18,232.34,173.7,21273.72,8876.37,6.88
000037,深南电A,2447.96,-13.78,-54.36,2039.18,300.85,0.43
000038,深大通,30752.11,50.66,-13.52,97787.28,1853.06,4.99
000039,中集集团,3141.98,106.64,117.22,2159.2,354.26,10.04
000042,中洲控股,2194.54,98.88,98.3,1834.78,628.24,8.36
000043,中航善达,-3507.14,19.18,5.87,-3425.98,169.81,1.4
000045,深纺织Ａ,-1856.56,-1.65,-13.19,-1892.44,90.02,-0.04
000046,泛海控股,1065.76,130.1,112.84,1006.07,847.89,4.03
000048,*ST康达,8082.67,128.67,109.92,11181.6,209.45,2.39
000049,德赛电池,253.45,208.24,237.63,-115.93,473.5,10.87
000050,深天马Ａ,384.03,50.84,64.25,-4.09,283.44,4.93
000055,方大集团,1694.98,213.35,158.09,765.85,267.87,5.51
000056,皇庭国际,1580.25,22.24,-14.35,1022.59,1330.07,1.17
000058,深 赛 格,149.43,61.66,47.43,413.27,169.16,1.0
000059,华锦股份,2492.98,105.3,15.41,3696.08,-74.93,7.08
000060,中金岭南,2087.2,62.48,52.26,1751.25,87.83,2.17
000061,农 产 品,1952.04,10.49,12.88,1844.46,141.22,0.31
000062,深圳华强,160.31,104.68,138.14,-94.5,1192.34,5.25
000063,中兴通讯,-874.04,7.74,94.56,-963.16,87.13,0.87
000065,北方国际,517.96,116.91,124.51,16.65,342.03,6.72
000066,中国长城,534.21,17.04,-6.88,2764.93,-422.05,0.41000000000000003
000068,华控赛格,-98.96,-35.01,-149.04,102.53,900.59,-0.19
000069,华侨城Ａ,226.01,109.75,116.43,-84.56,97.76,5.64
000070,特发信息,823.7,91.86,75.36,407.1,640.39,3.6
000078,海王生物,3039.34,120.75,103.68,2185.08,642.91,2.58
000088,盐 田 港,-90.35,58.37,66.4,-183.32,120.33,1.72
000089,深圳机场,494.13,51.01,43.55,305.67,78.2,2.62
000090,天健集团,1485.72,71.76,73.02,1118.85,206.34,4.18
000096,广聚能源,1453.72,83.69,80.24,1267.65,249.01,3.33
000099,中信海直,-219.9,34.63,46.22,-274.88,-3.63,1.62
000100,TCL 集团,175.11,87.82,106.46,-31.76,66.63,1.78
000150,宜华健康,215337.7,189.41,165.88,130147.88,3427.87,10.19
000151,中成股份,-173.41,91.2,104.56,-174.23,156.56,3.05
000153,丰原药业,295.28,42.23,37.45,269.12,238.52,1.58
000155,川能动力,-238.75,12.44,-78.55,98.92,231.64,0.34
000156,华数传媒,291.13,66.21,95.85,-294.54,128.78,3.83
000157,中联重科,-910.69,6.09,2.49,-957.95,70.71,0.26
000158,常山北明,1482.85,14.22,2.86,1136.05,248.49,0.58
000159,国际实业,-851.99,-7.86,6.73,-896.32,119.29,-0.35000000000000003
000166,申万宏源,-109.02,88.69,133.63,-345.14,-110.35,2.5300000000000002
000301,东方盛虹,671.92,53.5,52.56,678.85,171.5,1.47
000333,美的集团,263.48,269.01,278.46,-44.46,273.88,27.04
000338,潍柴动力,675.57,108.26,102.65,592.91,391.35,6.11
000400,许继电气,52.66,55.01,87.49,-125.96,-4.25,3.63
000401,冀东水泥,-14585.18,-69.12,-106.82,-15803.6,88.54,-5.14
000402,金 融 街,422.83,69.47,68.69,282.85,306.33,6.22
000403,振兴生化,-110.94,131.05,215.16,-285.82,358.37,2.55
000404,长虹华意,-230.41,72.16,93.29,-362.96,68.23,2.94
000407,胜利股份,-25.85,13.38,10.07,-62.62,219.51,0.32
000408,藏格控股,2012.44,78.67,-12.62,2622.76,593.66,2.55
000409,*ST地矿,-9866.29,-102.29,-37.6,-12760.07,2404.09,-1.6099999999999999
000410,沈阳机床,-10006.44,-394.57,-364.97,-12046.97,-39.77,-6.38
000411,英特集团,157.99,100.08,101.86,-14.32,157.31,3.54
000413,东旭光电,539.56,79.93,98.84,-261.36,1370.94,2.94
000415,渤海租赁,536.17,78.58,85.02,-1.58,1002.58,3.36
000416,民生控股,1385.16,17.01,23.99,1131.51,70.84,0.29
000417,合肥百货,-133.46,78.7,93.5,-193.18,22.14,3.55
000418,小天鹅Ａ,444.17,200.2,181.04,175.4,377.83,18.66
000419,通程控股,54.93,60.67,61.78,2.31,-41.39,2.18
000420,吉林化纤,2442.61,19.34,211.7,727.1,397.9,0.30000000000000004
000421,南京公用,-49.08,71.53,97.05,-238.1,-57.52,2.91
000422,*ST宜化,-9564.22,-5.58,-20.51,-12847.69,-107.17,-2.34
000423,东阿阿胶,148.73,204.19,217.31,-101.01,262.52,24.45
000425,徐工机械,5149.31,26.25,20.72,5823.27,325.24,0.6900000000000001
000426,兴业矿业,3986.82,51.95,43.19,2583.32,829.83,1.43
000428,华天酒店,-2702.23,-38.69,-38.84,-1363.2,-148.78,-1.12
000429,粤高速Ａ,518.79,132.72,109.37,362.25,105.83,5.28
000430,张家界,537.52,104.85,124.28,310.93,105.06,2.08
000488,晨鸣纸业,1364.77,94.12,68.84,914.07,227.66,8.45
000498,山东路桥,1601.36,98.56,97.53,525.54,430.37,2.9699999999999998
000501,鄂武商Ａ,207.43,172.24,186.75,-140.85,16.54,14.99
000502,绿景控股,-3473.11,-160.36,-109.66,-3796.28,1150.71,-1.5
000503,国新健康,-6930.29,-59.87,-38.7,-6311.07,-250.0,-0.88
000504,南华生物,-318.98,242.8,213.26,51.79,486.66,-0.14
000505,京粮控股,5.47,8.95,47.94,-193.47,32.1,0.29
000506,中润资源,-10417.98,-63.48,-54.0,-11532.4,513.88,-0.85
000507,珠海港,1422.25,41.59,23.97,1354.19,17.65,1.4
000509,华塑控股,-1325.34,-721.75,-818.37,-3124.61,7030.58,-0.27
000510,金路集团,3102.93,23.26,-43.47,2710.25,8.41,0.38
000511,烯碳退,-6530.42,-61.11,-67.23,-8135.93,738.4,-0.64
000513,丽珠集团,1250.48,214.11,184.57,383.17,232.9,30.36
000514,渝 开 发,2702.59,11.34,21.1,2579.8,-192.04,0.41000000000000003
000516,国际医学,2783.69,157.67,110.93,1755.08,-36.81,3.81
000517,荣安地产,17820.92,68.73,68.54,16910.38,2075.63,0.88
000518,四环生物,238.66,-1.7000000000000002,8.23,-98.33,186.02,0.01
000519,中兵红箭,8472.07,18.78,26.44,7616.63,42.88,0.92
000520,长航凤凰,2102.67,71.72,148.94,1672.82,56.51,0.21
000521,长虹美菱,357.19,36.0,54.27,179.93,180.23,1.6800000000000002
000523,广州浪奇,117.11,18.22,21.14,-49.61,438.75,0.56
000524,岭南控股,209.81,67.89,60.33,456.38,75.69,1.82
000525,红 太 阳,2289.54,77.34,78.43,1644.34,-24.04,6.66
000526,紫光学大,241.68,255.49,61.44,2462.64,23675.32,2.24
000528,柳 工,6991.93,30.83,17.43,7009.49,253.55,2.55
000529,广弘控股,163.36,75.05,78.17,16.25,32.6,1.58
000530,大冷股份,79.69,48.77,53.76,-148.71,106.97,2.37
000531,穗恒运Ａ,-465.45,89.47,140.89,-583.9,-65.31,4.69
000532,华金资本,115.28,44.8,43.11,82.38,367.69,0.92
000533,顺钠股份,-197.49,55.31,77.09,-270.05,1355.71,1.15
000534,万泽股份,50.53,34.09,37.92,-65.81,787.45,1.0
000536,华映科技,144.49,42.89,76.16,-399.43,-124.9,1.76
000537,广宇发展,1317.72,132.15,107.65,1672.6,854.58,6.36
000538,云南白药,295.88,362.38,394.0,-216.94,311.32,52.3
000539,粤电力Ａ,-193.2,63.71,93.73,-259.92,-20.69,2.8
000540,中天金融,683.65,236.94,274.36,-13.96,137.3,6.0
000541,佛山照明,2202.55,94.16,93.16,1571.08,128.49,3.43
000545,金浦钛业,1089.7,61.86,57.43,452.4,585.67,1.25
000546,金圆股份,839.75,94.61,73.8,7030.28,1565.19,3.48
000547,航天发展,641.42,52.67,62.87,-52.34,1188.8,1.78
000548,湖南投资,2145.3,41.71,33.93,3025.4,1578.44,1.29
000550,江铃汽车,-433.78,100.61,144.32,-505.49,80.65,13.62
000551,创元科技,367.63,40.29,35.05,251.42,92.68,1.52
000552,靖远煤电,642.56,54.92,66.25,342.94,164.27,1.74
000553,安道麦A,1651.11,85.74,119.9,2432.48,-79.85,5.32
000554,泰山石油,-404.81,2.88,4.83,-336.37,-103.59,0.05
000555,神州信息,354.04,58.68,68.27,-11.01,163.61,2.52
000557,西部创业,-1469.02,11.44,5.96,-813.48,726.1,0.24
000559,万向钱潮,91.51,163.24,166.85,-29.33,72.24,2.9
000560,我爱我家,4515.8,21.95,29.88,1447.01,2073.22,0.81
000561,烽火电子,1757.04,30.79,27.69,1523.31,208.32,0.5700000000000001
000563,陕国投Ａ,14.88,64.65,77.69,-203.24,74.89,1.87
000564,供销大集,2152.13,27.61,28.97,1305.32,283.91,1.21
000565,渝三峡Ａ,781.87,132.36,137.27,454.25,1496.86,3.04
000566,海南海药,111.48,65.49,84.63,-226.15,256.26,2.31
000567,海德股份,10168.44,117.38,89.75,8832.03,24913.99,2.15
000568,泸州老窖,388.88,187.04,164.47,229.0,288.89,15.55
000570,苏常柴Ａ,-107.23,28.05,32.61,-187.97,-45.27,1.05
000571,新大洲Ａ,-313.87,25.49,35.39,-358.39,474.95,0.68
000572,海马汽车,-2741.13,-9.64,25.57,-3178.96,-140.77,-0.31
000573,粤宏远Ａ,-1025.67,8.56,15.84,-1142.41,181.46,0.24
000576,广东甘化,1389.57,-19.09,15.11,1148.47,36.39,-0.51
000581,威孚高科,267.77,148.43,141.56,86.43,169.9,19.21
000582,北部湾港,11.23,77.05,98.09,-168.55,-58.95,4.43
000584,哈工智能,-1497.52,0.8200000000000001,11.81,-1661.39,307.73,-0.01
000585,*ST东电,-5692.28,-87.55,-14.42,-6317.42,-396.93,-0.23
000586,汇源通信,-841.2,11.57,21.05,-949.34,-36.73,0.13
000587,金洲慈航,1537.96,83.84,101.5,-317.51,246.96,4.38
000589,黔轮胎Ａ,267.93,-3.62,15.2,147.82,100.09,-0.16
000590,启迪古汉,2838.79,96.23,56.74,3853.95,129.86,0.99
000591,太阳能,650.22,58.04,47.04,2624.03,157.26,2.98
000592,平潭发展,-422.68,13.19,24.09,-547.1,92.26,0.2
000593,大通燃气,350.8,6.07,6.08,328.73,137.72,0.18
