证券简称,报告期,净利润增长率%
新 和 成,2018-09-30 00:00:00,181.6
新 和 成,2018-06-30 00:00:00,251.32
新 和 成,2018-03-31 00:00:00,544.56
新 和 成,2017-12-31 00:00:00,41.72
新 和 成,2017-09-30 00:00:00,6.59
新 和 成,2017-06-30 00:00:00,13.62
新 和 成,2017-03-31 00:00:00,48.86
新 和 成,2016-12-31 00:00:00,199.11
新 和 成,2016-09-30 00:00:00,196.63
新 和 成,2016-06-30 00:00:00,177.83
新 和 成,2016-03-31 00:00:00,93.56
新 和 成,2015-12-31 00:00:00,-50.24
新 和 成,2015-09-30 00:00:00,-60.02
新 和 成,2015-06-30 00:00:00,-66.17
新 和 成,2015-03-31 00:00:00,-60.48
