,证券代码,证券简称,报告期,披露日期,本期净利润,上年同期净利润,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入本期,营业收入上年同期,营业收入增长率%,经营现金流,基本
0,002001,新 和 成,2018-09-30,2017/10/26,25.37亿,9.01亿,181.6,17.09,10.87,57.22,67.19亿,40.92亿,64.2,25.03亿,1.18
1,002001,新 和 成,2018-06-30,2017/8/23,20.59亿,5.86亿,251.32,13.87,7.01,97.86,46.51亿,26.08亿,78.34,13.64亿,0.96
2,002001,新 和 成,2018-03-31,2017/4/24,14.94亿,2.32亿,544.56,10.16,2.83,259.01,30.45亿,12.28亿,148.0,3.94亿,1.18
3,002001,新 和 成,2017-12-31,2017/3/28,17.04亿,12.03亿,41.72,19.87,15.92,24.81,62.35亿,46.96亿,32.77,12.72亿,1.57
4,002001,新 和 成,2017-09-30,2016/10/28,9.01亿,8.45亿,6.59,10.87,11.41,-4.73,40.92亿,34.22亿,19.57,7.77亿,0.83
5,002001,新 和 成,2017-06-30,2016/8/16,5.86亿,5.16亿,13.62,7.01,7.05,-0.57,26.08亿,23.03亿,13.26,4.25亿,0.54
6,002001,新 和 成,2017-03-31,2016/4/28,2.32亿,1.56亿,48.86,2.83,2.18,29.82,12.28亿,10.87亿,13.01,1.27亿,0.21
7,002001,新 和 成,2016-12-31,2016/4/19,12.03亿,4.02亿,199.11,15.92,5.74,177.35,46.96亿,38.23亿,22.86,11.90亿,1.1
8,002001,新 和 成,2016-09-30,2015/10/30,8.45亿,2.85亿,196.63,11.41,3.91,191.82,34.22亿,28.31亿,20.88,7.51亿,0.78
9,002001,新 和 成,2016-06-30,2015/8/3,5.16亿,1.86亿,177.83,7.05,2.61,170.11,23.03亿,19.31亿,19.23,4.38亿,0.47
10,002001,新 和 成,2016-03-31,2015/4/28,1.56亿,8042.77万,93.56,2.18,1.14,91.23,10.87亿,9.58亿,13.46,1.80亿,0.14
11,002001,新 和 成,2015-12-31,2015/4/14,4.02亿,8.08亿,-50.24,5.74,11.95,-51.97,38.23亿,41.64亿,-8.2,9.72亿,0.37
12,002001,新 和 成,2015-09-30,2014/10/30,2.85亿,7.13亿,-60.02,3.91,10.6,-63.11,28.31亿,30.30亿,-6.56,5.21亿,0.26
13,002001,新 和 成,2015-06-30,2014/8/26,1.86亿,5.49亿,-66.17,2.61,8.16,-68.01,19.31亿,21.30亿,-9.35,3.20亿,0.17
14,002001,新 和 成,2015-03-31,2014/4/29,8042.77万,2.04亿,-60.48,1.14,3.05,-62.62,9.58亿,9.64亿,-0.67,1.10亿,0.07
