证券代码,净利润增长率%,加权平均ROE本期,加权平均ROE上年同期,加权平均ROE增长率%,营业收入增长率%,基本
1,899.18,159.57,152.27,438.11,235.59,16.39
2,220.5,176.77,167.21,59.4,205.19,12.04
4,3607.97,77.89,54.38,3229.34,290.14,0.85
5,-131.71,-0.07,0.14,-218.96,656.34,0.03
6,255.22,147.13,140.96,112.97,174.32,4.58
7,598.92,29.23,28.83,365.0,-58.67,0.46
8,2410.99,37.18,31.86,1385.57,415.88,0.9400000000000001
9,118.84,90.06,99.12,-5.06,97.99,1.88
10,-5330.94,-56.43,23.48,-5391.69,273.91,-1.27
11,1215.89,183.07,158.15,976.08,207.48,4.62
12,569.82,104.88,90.7,475.16,114.16,3.47
14,-20.22,77.45,88.19,-88.17,126.26,2.06
16,2743.49,40.52,-15.9,-1101.02,110.62,1.96
17,1837.76,28.87,70.48,1651.89,-39.5,0.0
18,3131.95,84.32,48.63,3745.32,95.96,2.07
19,674.89,13.56,22.89,235.4,96.0,0.48
20,-69.86,11.16,13.94,-100.13,247.03,0.11
21,228.57,52.06,51.44,175.9,8.2,1.78
22,-2.56,121.17,135.07,-61.57,7.72,6.94
23,300.72,43.42,42.96,258.28,98.03,1.09
24,141.54,82.19,81.21,13.73,358.66,9.68
25,649.08,36.71,32.33,310.76,-43.76,0.63
26,118.61,78.15,82.21,-32.64,130.86,2.94
27,38.32,80.63,86.37,-29.26,46.63,4.65
28,195.91,195.51,210.93,-68.95,126.84,15.46
29,458.44,81.74,76.58,327.71,116.86,1.62
30,53.05,55.69,55.88,6.42,40.33,2.03
31,241.71,99.99,88.84,192.04,285.08,2.92
32,1403.24,48.25,55.49,519.05,43.26,1.67
33,-1625.05,32.01,-57.35,-1465.79,17.22,-0.11
34,2215.68,144.28,254.22,282.79,8817.2,2.12
35,142.49,48.58,-47.95,66.94,253.53,1.06
36,1992.32,137.42,74.2,1412.89,1841.99,3.09
37,-1298.61,2.25,2.04,-1600.17,3.01,0.31
38,1343.95,5.17,17.23,-3680.52,550.13,1.5
39,908.08,197.26,201.26,635.7,304.8,14.06
42,3987.57,107.21,97.58,3653.18,275.0,10.17
43,988.06,104.71,103.02,306.89,162.58,6.17
45,-1296.99,6.93,16.61,-1434.55,158.05,0.04
46,470.82,101.07,88.52,381.95,314.59,2.66
48,5660.39,95.28,189.38,4663.08,117.65,1.5899999999999999
49,-527.08,273.7,251.97,-311.79,336.24,8.78
50,-1973.33,42.18,37.06,-2545.4,205.68,2.47
55,1049.52,180.47,131.42,638.25,169.21,4.5
56,-2502.24,-131.89,82.77,-3851.02,453.07,-1.67
58,-545.15,21.21,13.02,-580.67,130.91,0.37
59,-1182.01,32.46,23.15,-1387.86,743.29,2.27
60,319.73,88.78,87.31,177.92,136.43,2.65
61,422.33,26.89,28.96,337.51,83.05,0.96
62,467.12,126.18,118.96,722.3,356.26,4.14
63,189.63,64.35,60.97,98.83,102.92,4.8100000000000005
65,293.86,145.22,140.0,80.98,215.44,6.02
66,1985.8,43.05,34.73,3705.83,612.83,1.17
